,BIN,ISSUE_DATE,VIOLATION_TYPE_CODE,VIOLATION_CATEGORY,VIOLATION_TYPE
296524,1040760.0,19900725,LL5,V-DOB VIOLATION - ACTIVE,LL5-LOCAL LAW 5/73                                                  NONE
296930,2062884.0,19890913,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
296979,1080785.0,19921201,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
302775,1000868.0,19890323,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
303056,1036462.0,19900906,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
303846,2097364.0,19890817,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
304708,1037596.0,19890707,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
304709,1017814.0,19870427,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
304896,1090463.0,19890419,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
305378,1022581.0,19890331,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
306004,1000830.0,19890130,LL5,V-DOB VIOLATION - ACTIVE,LL5-LOCAL LAW 5/73                                                  NONE
306998,1017229.0,19890707,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
307600,3338342.0,19931007,LL16,V-DOB VIOLATION - ACTIVE,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
308527,4206748.0,19930524,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
309591,1001006.0,19890130,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
310016,1037555.0,19891031,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
310891,1080950.0,19890807,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
310943,4438583.0,19891120,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
311186,3337687.0,19900425,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
311947,1082895.0,19870315,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
312184,1035390.0,19891031,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
312409,1001025.0,19890331,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
313291,2102025.0,19900124,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
314592,1007038.0,19940805,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
314778,3044127.0,19881020,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
315919,3179705.0,19890817,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
316838,5015143.0,19890616,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
320721,1037549.0,19890707,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
320943,1008952.0,19930130,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
322403,4113182.0,19880919,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
322559,1034502.0,19881011,LL5,V-DOB VIOLATION - ACTIVE,LL5-LOCAL LAW 5/73                                                  NONE
322964,4072142.0,19890906,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
323909,1001706.0,19910128,LL16,V-DOB VIOLATION - ACTIVE,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
324730,1001163.0,19891212,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
326772,3819587.0,19890808,LL16,V-DOB VIOLATION - ACTIVE,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
328312,1035421.0,19921029,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
328745,3021676.0,19941222,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
329505,1035441.0,19930201,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
332466,4837390.0,19881122,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
334719,3066951.0,19890707,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
335577,4298303.0,19891102,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
337094,1037588.0,19870428,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
337322,4184864.0,19930224,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
338555,1036082.0,19891031,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
